"","circuit_name","year","duration","pit_stop_milliseconds","driver_name"
"1","Abu Dhabi Grand Prix",2011,"20.882",20882,"Bruno Senna"
"2","Abu Dhabi Grand Prix",2011,"24.654",24654,"Sergio Pérez"
"3","Abu Dhabi Grand Prix",2011,"19.833",19833,"Kamui Kobayashi"
"4","Abu Dhabi Grand Prix",2011,"20.471",20471,"Felipe Massa"
"5","Abu Dhabi Grand Prix",2011,"43.574",43574,"Jaime Alguersuari"
"6","Abu Dhabi Grand Prix",2011,"19.439",19439,"Lewis Hamilton"
"7","Abu Dhabi Grand Prix",2011,"20.211",20211,"Fernando Alonso"
"8","Abu Dhabi Grand Prix",2011,"20.908",20908,"Jenson Button"
"9","Abu Dhabi Grand Prix",2011,"20.356",20356,"Adrian Sutil"
"10","Abu Dhabi Grand Prix",2011,"19.660",19660,"Michael Schumacher"
"11","Abu Dhabi Grand Prix",2011,"21.146",21146,"Heikki Kovalainen"
"12","Abu Dhabi Grand Prix",2011,"25.182",25182,"Mark Webber"
"13","Abu Dhabi Grand Prix",2011,"19.785",19785,"Nico Rosberg"
"14","Abu Dhabi Grand Prix",2011,"20.824",20824,"Jarno Trulli"
"15","Abu Dhabi Grand Prix",2011,"20.738",20738,"Vitaly Petrov"
"16","Abu Dhabi Grand Prix",2011,"24.219",24219,"Rubens Barrichello"
"17","Abu Dhabi Grand Prix",2011,"21.693",21693,"Daniel Ricciardo"
"18","Abu Dhabi Grand Prix",2011,"20.330",20330,"Bruno Senna"
"19","Abu Dhabi Grand Prix",2011,"21.247",21247,"Vitantonio Liuzzi"
"20","Abu Dhabi Grand Prix",2011,"20.201",20201,"Pastor Maldonado"
"21","Abu Dhabi Grand Prix",2011,"21.792",21792,"Timo Glock"
"22","Abu Dhabi Grand Prix",2011,"20.216",20216,"Paul di Resta"
"23","Abu Dhabi Grand Prix",2011,"19.979",19979,"Sergio Pérez"
"24","Abu Dhabi Grand Prix",2011,"12.897",12897,"Pastor Maldonado"
"25","Abu Dhabi Grand Prix",2011,"23.108",23108,"Kamui Kobayashi"
"26","Abu Dhabi Grand Prix",2011,"20.534",20534,"Rubens Barrichello"
"27","Abu Dhabi Grand Prix",2011,"20.000",20000,"Mark Webber"
"28","Abu Dhabi Grand Prix",2011,"21.363",21363,"Jaime Alguersuari"
"29","Abu Dhabi Grand Prix",2011,"20.301",20301,"Jenson Button"
"30","Abu Dhabi Grand Prix",2011,"20.614",20614,"Adrian Sutil"
"31","Abu Dhabi Grand Prix",2011,"12.959",12959,"Bruno Senna"
"32","Abu Dhabi Grand Prix",2011,"19.968",19968,"Vitaly Petrov"
"33","Abu Dhabi Grand Prix",2011,"19.350",19350,"Lewis Hamilton"
"34","Abu Dhabi Grand Prix",2011,"20.652",20652,"Heikki Kovalainen"
"35","Abu Dhabi Grand Prix",2011,"20.035",20035,"Felipe Massa"
"36","Abu Dhabi Grand Prix",2011,"20.638",20638,"Michael Schumacher"
"37","Abu Dhabi Grand Prix",2011,"23.192",23192,"Daniel Ricciardo"
"38","Abu Dhabi Grand Prix",2011,"21.314",21314,"Fernando Alonso"
"39","Abu Dhabi Grand Prix",2011,"20.791",20791,"Jarno Trulli"
"40","Abu Dhabi Grand Prix",2011,"20.561",20561,"Timo Glock"
"41","Abu Dhabi Grand Prix",2011,"19.907",19907,"Nico Rosberg"
"42","Abu Dhabi Grand Prix",2011,"19.525",19525,"Mark Webber"
"43","Australian Grand Prix",2011,"26.898",26898,"Jaime Alguersuari"
