"","circuit_name","year","race_milliseconds","race_time","raceId"
"1","Australian Grand Prix",2004,5055757,"01:24:15.756",90
"2","Australian Grand Prix",2004,5069362,"01:24:29.362",90
"3","Australian Grand Prix",2004,5090430,"01:24:50.430",90
"4","Australian Grand Prix",2004,5116180,"01:25:16.180",90
"5","Australian Grand Prix",2004,5124293,"01:25:24.292",90
"6","Australian Grand Prix",2004,5126355,"01:25:26.354",90
"7","Bahrain Grand Prix",2004,5314875,"01:28:34.875",92
"8","Bahrain Grand Prix",2004,5316242,"01:28:36.242",92
"9","Bahrain Grand Prix",2004,5341562,"01:29:01.561",92
"10","Bahrain Grand Prix",2004,5347089,"01:29:07.088",92
"11","Bahrain Grand Prix",2004,5367335,"01:29:27.335",92
"12","Bahrain Grand Prix",2004,5368031,"01:29:28.030",92
"13","Bahrain Grand Prix",2004,5373030,"01:29:33.029",92
"14","Belgian Grand Prix",2004,5555274,"01:32:35.274",103
"15","Belgian Grand Prix",2004,5558406,"01:32:38.405",103
"16","Belgian Grand Prix",2004,5559645,"01:32:39.645",103
"17","Belgian Grand Prix",2004,5567778,"01:32:47.778",103
"18","Belgian Grand Prix",2004,5569378,"01:32:49.377",103
"19","Belgian Grand Prix",2004,5569888,"01:32:49.887",103
"20","Belgian Grand Prix",2004,5573244,"01:32:53.243",103
"21","Belgian Grand Prix",2004,5573967,"01:32:53.966",103
"22","Belgian Grand Prix",2004,5577389,"01:32:57.389",103
"23","Brazilian Grand Prix",2004,5281451,"01:28:01.451",107
"24","Brazilian Grand Prix",2004,5282473,"01:28:02.472",107
"25","Brazilian Grand Prix",2004,5305550,"01:28:25.550",107
"26","Brazilian Grand Prix",2004,5329959,"01:28:49.958",107
"27","Brazilian Grand Prix",2004,5331191,"01:28:51.190",107
"28","Brazilian Grand Prix",2004,5331699,"01:28:51.698",107
"29","Brazilian Grand Prix",2004,5332077,"01:28:52.077",107
"30","Brazilian Grand Prix",2004,5343761,"01:29:03.761",107
"31","Brazilian Grand Prix",2004,5345293,"01:29:05.292",107
"32","British Grand Prix",2004,5082700,"01:24:42.699",100
"33","British Grand Prix",2004,5084830,"01:24:44.829",100
"34","British Grand Prix",2004,5085814,"01:24:45.814",100
"35","British Grand Prix",2004,5093383,"01:24:53.382",100
"36","British Grand Prix",2004,5094873,"01:24:54.872",100
"37","British Grand Prix",2004,5095588,"01:24:55.587",100
"38","British Grand Prix",2004,5102368,"01:25:02.368",100
"39","British Grand Prix",2004,5106401,"01:25:06.400",100
"40","British Grand Prix",2004,5106723,"01:25:06.722",100
"41","British Grand Prix",2004,5107535,"01:25:07.534",100
"42","British Grand Prix",2004,5116436,"01:25:16.435",100
"43","British Grand Prix",2004,5117003,"01:25:17.002",100
"44","Canadian Grand Prix",2004,5304803,"01:28:24.802",97
"45","Canadian Grand Prix",2004,5309911,"01:28:29.911",97
"46","Canadian Grand Prix",2004,5325212,"01:28:45.212",97
"47","Chinese Grand Prix",2004,5352420,"01:29:12.420",105
"48","Chinese Grand Prix",2004,5353455,"01:29:13.454",105
"49","Chinese Grand Prix",2004,5353889,"01:29:13.889",105
"50","Chinese Grand Prix",2004,5384930,"01:29:44.930",105
"51","Chinese Grand Prix",2004,5397613,"01:29:57.613",105
"52","Chinese Grand Prix",2004,5407211,"01:30:07.211",105
"53","Chinese Grand Prix",2004,5417874,"01:30:17.873",105
"54","Chinese Grand Prix",2004,5432500,"01:30:32.500",105
"55","Chinese Grand Prix",2004,5433039,"01:30:33.038",105
"56","European Grand Prix",2004,5555101,"01:32:35.100",96
"57","European Grand Prix",2004,5573090,"01:32:53.090",96
"58","European Grand Prix",2004,5577634,"01:32:57.634",96
"59","European Grand Prix",2004,5608774,"01:33:28.774",96
"60","European Grand Prix",2004,5616088,"01:33:36.087",96
"61","European Grand Prix",2004,5628549,"01:33:48.548",96
"62","European Grand Prix",2004,5631307,"01:33:51.306",96
"63","French Grand Prix",2004,5418133,"01:30:18.132",99
"64","French Grand Prix",2004,5426462,"01:30:26.462",99
"65","French Grand Prix",2004,5449755,"01:30:49.755",99
"66","French Grand Prix",2004,5450215,"01:30:50.215",99
"67","French Grand Prix",2004,5450615,"01:30:50.614",99
"68","French Grand Prix",2004,5453653,"01:30:53.653",99
"69","French Grand Prix",2004,5454363,"01:30:54.363",99
"70","French Grand Prix",2004,5461552,"01:31:01.551",99
"71","French Grand Prix",2004,5470527,"01:31:10.527",99
"72","French Grand Prix",2004,5476299,"01:31:16.298",99
"73","German Grand Prix",2004,5034848,"01:23:54.847",101
"74","German Grand Prix",2004,5043236,"01:24:03.235",101
"75","German Grand Prix",2004,5051199,"01:24:11.198",101
"76","German Grand Prix",2004,5054079,"01:24:14.078",101
"77","German Grand Prix",2004,5057903,"01:24:17.903",101
"78","German Grand Prix",2004,5075956,"01:24:35.956",101
"79","German Grand Prix",2004,5076804,"01:24:36.804",101
"80","German Grand Prix",2004,5081690,"01:24:41.689",101
"81","German Grand Prix",2004,5101950,"01:25:01.949",101
"82","German Grand Prix",2004,5103426,"01:25:03.426",101
"83","German Grand Prix",2004,5105106,"01:25:05.105",101
"84","German Grand Prix",2004,5108100,"01:25:08.100",101
"85","Hungarian Grand Prix",2004,5726131,"01:35:26.131",102
"86","Hungarian Grand Prix",2004,5730827,"01:35:30.827",102
"87","Hungarian Grand Prix",2004,5770730,"01:36:10.729",102
"88","Hungarian Grand Prix",2004,5788744,"01:36:28.743",102
"89","Hungarian Grand Prix",2004,5793570,"01:36:33.569",102
"90","Italian Grand Prix",2004,4518448,"01:15:18.448",104
"91","Italian Grand Prix",2004,4519795,"01:15:19.795",104
"92","Italian Grand Prix",2004,4528645,"01:15:28.645",104
"93","Italian Grand Prix",2004,4533818,"01:15:33.818",104
"94","Italian Grand Prix",2004,4550800,"01:15:50.800",104
"95","Italian Grand Prix",2004,4551887,"01:15:51.886",104
"96","Italian Grand Prix",2004,4552200,"01:15:52.199",104
"97","Italian Grand Prix",2004,4553879,"01:15:53.878",104
"98","Italian Grand Prix",2004,4575209,"01:16:15.208",104
"99","Italian Grand Prix",2004,4584764,"01:16:24.764",104
"100","Italian Grand Prix",2004,4600979,"01:16:40.979",104
